name,repo_name
xBase,AlDanial/cloc
wisp,Fresheyeball/elm-node
wdl,broadinstitute/cromwell
sed,kubernetes/kubernetes
reStructuredText,mgeier/homepage
q,apache/spark
ooc,fasterthanlime/rock
nesC,winder/Universal-G-Code-Sender
mupad,buildfirst/buildfirst
mIRC Script,GoldenCheetah/GoldenCheetah
kvlang,kivy/kivy
jq,angular/angular
hoon,AlDanial/cloc
eC,openssl/openssl
Zimpl,indranilsinharoy/PyZDDE
Zig,AlDanial/cloc
Zephir,phalcon/zephir
ZenScript,ArmageddonGames/ZeldaClassic
Zeek,cea-sec/ivre
Yul,ethereum/solidity
Yacc,rails/rails
YASnippet,jorgenschaefer/elpy
YARA,pypa/warehouse
YAML,ansistrano/deploy
Xtend,AlDanial/cloc
Xonsh,h5py/h5py
Xojo,xojo/FM
XSLT,facebook/react-native
XS,y123456yz/reading-code-of-nginx-1.9.2
XQuery,AlDanial/cloc
XProc,kraih/mojo
XPages,teamstudio/xcontrols-domino
XML,DesarrolloAntonio/FragmentTransactionExtended
XC,OpenRCT2/OpenRCT2
X10,MartinThoma/LaTeX-examples
Witcher Script,t3nsor/SPOJ
WebIDL,tmpvar/jsdom
WebAssembly,Microsoft/ChakraCore
Web Ontology Language,lumifyio/lumify
Vue,containous/traefik
Volt,opnsense/core
Visual Basic 6.0,sysown/proxysql
Visual Basic .NET,dotnet/roslyn
Visual Basic,Microsoft/vscode
VimL,spf13/spf13-vim
Vim script,docker/docker
Vim Snippet,tensorflow/tensorflow
Vim Script,apple/swift
Verilog,cloudera/hue
Velocity Template Language,fxbois/web-mode
Vala,radare/radare2
VHDL,hamsternz/FPGA_Webserver
VCL,jamesrwhite/minicron
VBScript,amix/vimrc
VBA,AlDanial/cloc
V,kostya/benchmarks
UrWeb,steinuil/negoto
UnrealScript,fail0verflow/ps4-linux
Uno,jveres/D500px
TypeScript,facebook/react
Twig,getgrav/grav
Turing,pasky/pachi
Thrift,apache/spark
Terra,PrismJS/prism
Tea,remotemethod/hello-world
TeX,cisco/ChezScheme
Tcl,antirez/redis
TXL,umple/umple
TSQL,antontarasenko/smq
TLA,erlang/otp
SystemVerilog,AlDanial/cloc
Swift,tensorflow/tensorflow
Svelte,AlDanial/cloc
SuperCollider,bkaradzic/bgfx
SugarSS,AlDanial/cloc
Stylus,t4t5/sweetalert
StringTemplate,spotify/scio
Stata,AlDanial/cloc
Starlark,tensorflow/tensorflow
Standard ML,facebook/reason
Stan,stan-dev/stan
Squirrel,AlDanial/cloc
SourcePawn,tensorflow/tensorflow
Solidity,ethereum/go-ethereum
Smarty,tensorflow/tensorflow
Smalltalk,h6ah4i/android-advancedrecyclerview
Smali,skylot/jadx
SmPL,erlang/otp
Slim,AlDanial/cloc
Slice,zeroc-ice/ice
Slash,emacs-mirror/emacs
Singularity,MRtrix3/mrtrix3
Sieve,tomav/docker-mailserver
Shen,gravicappa/klvm
ShellSession,MartinThoma/LaTeX-examples
Shell,tensorflow/tensorflow
ShaderLab,Microsoft/vscode
Self,rhuitl/uClinux
Scilab,saltstack/salt
Scheme,cisco/ChezScheme
Scaml,apache/samza
Scala,apex/apex
Sass,jgthms/bulma
SaltStack,chubin/wttr.in
Sage,bitcoin/bitcoin
SWIG,libgdx/libgdx
SVG,gilbarbara/logos
SRecode Template,videolan/vlc
SQLPL,andris9/mailtrain
SQL,amacoder/demo-restWS-spring-jersey-tomcat-mybatis
SQF,CBATeam/CBA_A3
SMT,facebook/infer
SCSS,twbs/bootstrap
SAS,ketoo/NoahGameFrame
Rust,Microsoft/vscode
Ruby,tensorflow/tensorflow
RouterOS Script,digital-preservation/droid
Rouge,StanfordLegion/legion
Roff,tensorflow/tensorflow
RobotFramework,AlDanial/cloc
Riot,riot/examples
Ring,AlDanial/cloc
Rich Text Format,grafana/grafana
RenderScript,intellij-rust/intellij-rust
Ren'Py,robotlolita/cute-demon-crashers
Redcode,root-mirror/root
Red,Schematron/schematron
Rebol,swirldev/swirl_courses
Reason,facebook/reason
ReScript,apache/spark
Rascal,racaljk/hosts
Raku,DrKLO/Telegram
Ragel in Ruby Host,google/gumbo-parser
Ragel,libgdx/libgdx
Racket,AlDanial/cloc
RUNOFF,tomaszmrugalski/dibbler
RPGLE,libssh2/libssh2
RPC,ohler55/oj
REXX,scummvm/scummvm
RAML,AlDanial/cloc
R,Microsoft/vscode
Qt Script,xaos-project/XaoS
QMake,bitcoin/bitcoin
QML,das-labor/panopticon
Q#,digital-preservation/droid
Python,tensorflow/tensorflow
PureScript,osener/wring
PureBasic,deeplearning4j/deeplearning4j
Pure Data,joearms/music_experiments
Puppet,AlDanial/cloc
Pug,webpack/webpack
Protocol Buffer,docker/docker
Propeller Spin,MyRobotLab/myrobotlab
Promela,Dolibarr/dolibarr
Prolog,babel/babel
Procfile,django/django
Processing,platformio/platformio
PowerShell,twbs/bootstrap
PowerBuilder,secretsquirrel/the-backdoor-factory
PostScript,danielquinn/paperless
Portugol,digital-preservation/droid
Pony,ponylang/ponyc
PogoScript,featurist/pogoscript
Pike,blackducksoftware/ohcount
PigLatin,AlDanial/cloc
PicoLisp,CyberGrandChallenge/binutils
Perl6,CleverbotIO/node-cleverbot.io
Perl 6,Microsoft/vscode
Perl,tensorflow/tensorflow
Pep8,hammerlab/pyensembl
Pawn,tensorflow/tensorflow
Pascal,AlDanial/cloc
Parrot,petdance/ack2
Papyrus,fireundubh/fo4-mods
Pan,asterisk/pjproject
POV-Ray SDL,citra-emu/citra
PLpgSQL,apache/spark
