name,occurance
JavaScript,32
Shell,31
HTML,27
CSS,22
Python,16
Makefile,13
Batchfile,10
TypeScript,9
Objective-C,9
C++,9
C,9
Swift,8
Ruby,8
Dockerfile,8
Java,7
Roff,5
PowerShell,5
Perl,5
Go,5
CoffeeScript,5
Objective-C++,4
CMake,4
Assembly,4
Starlark,3
SCSS,3
Less,3
Kotlin,3
WebAssembly,2
Visual Basic,2
Vim Script,2
Rust,2
PHP,2
Lua,2
LLVM,2
Groovy,2
C#,2
ApacheConf,2
jq,1
XSLT,1
Vim script,1
Vim Snippet,1
SourcePawn,1
Smarty,1
ShaderLab,1
Sass,1
R,1
Pug,1
Protocol Buffer,1
Perl 6,1
Pawn,1
Nginx,1
NASL,1
Mako,1
MLIR,1
Jupyter Notebook,1
Inno Setup,1
HLSL,1
Groff,1
Fortran,1
F#,1
Emacs Lisp,1
EJS,1
DTrace,1
DIGITAL Command Language,1
D,1
Cython,1
Clojure,1
Awk,1
Augeas,1
AngelScript,1
